iter	RMSE
161	1019.447729
162	1017.069931
163	1013.982151
164	1010.588436
165	1007.000331
166	1003.457111
167	999.5891933
168	996.1633502
169	994.8982803
170	993.153801
171	990.8639798
172	986.7262948
173	985.1120562
174	981.2836059
175	979.1543703
176	977.6558845
177	974.10589
178	971.9273396
179	969.0674105
180	967.4245281
181	965.0930604
182	963.4179104
183	959.4242352
184	956.8944964
185	953.8209982
186	951.4716133
187	949.300593
188	947.9872034
189	944.6363406
190	940.9843721
191	938.2566452
192	935.7049973
193	931.3537069
194	930.0464153
195	927.2181221
196	924.6951703
197	922.8807835
198	920.3105693
199	918.4337051
200	916.1856503
201	915.546776
202	914.2798794
203	911.6424052
204	909.3864467
205	906.5080063
206	903.8796539
207	901.5799585
208	900.4510138
209	898.1347035
210	895.4467467
211	894.8405528
212	892.7896697
213	890.1462088
214	888.552853
215	886.2261747
216	883.6514359
217	881.2629042
218	879.1196826
219	875.3328492
220	873.6795662
221	871.0548717
222	870.0295712
223	867.6149902
224	865.9191123
225	864.4338565
226	862.9614148
227	860.8099161
228	859.1650316
229	856.989995
230	855.5520585
231	853.122619
232	851.198262
233	849.2343914
234	847.2985975
235	845.4757536
236	843.6618622
237	842.1090247
238	840.0887267
239	838.0900851
240	836.0291026
241	832.6439378
242	831.6735852
243	830.8159203
244	828.2982155
245	825.6912318
246	823.7645485
247	821.9067712
248	819.9192629
249	817.6695264
250	816.3856915
251	814.1713308
252	811.7208896
253	810.0303955
254	809.0578349
255	807.6544494
256	805.8844574
257	803.9320695
258	802.42533
259	800.8410771
260	798.6071088
261	796.6284613
262	795.1173855
263	793.533041
264	790.4461151
265	788.1212806
266	785.643617
267	785.1051069
268	783.1927572
269	782.6316348
270	780.6681186
271	779.2007596
272	778.6546268
273	777.2541261
274	775.4893324
275	774.2571978
276	772.2950596
277	771.3340907
278	770.5619018
279	768.6482522
280	766.5978158
281	763.9265776
282	763.4832176
283	761.853339
284	760.3670012
285	758.1984979
286	756.4405324
287	754.5368746
288	752.2989313
289	750.7725113
290	748.4376442
291	746.3432708
292	744.1852689
293	742.2717263
294	739.7513462
295	739.2282273
296	737.2002077
297	735.9775511
298	734.0870465
299	731.9893481
300	728.5702595
301	725.9028451
302	724.3649825
303	722.748519
304	721.0357924
305	719.6770715
306	717.0797729
307	715.0772109
308	712.1097609
309	711.1733129
310	709.9901255
311	707.9884836
312	706.3288833
313	704.5836536
314	703.2792095
315	701.1243662
316	698.9956248
317	698.5737461
318	696.9107571
319	695.4437261
320	692.6930398
321	692.3093017
322	690.4243901
323	688.6838102
324	687.0945098
325	685.7268323
326	684.1141343
327	682.8626054
328	681.2965233
329	680.0463977
330	679.2759773
331	677.660433
332	674.9822765
333	673.969782
334	671.78147
335	670.5651456
336	668.6622278
337	666.8021878
338	665.0615557
339	662.8019186
340	660.9057877
341	657.6668304
342	655.7497991
343	655.1594274
344	652.8668191
345	651.3005582
346	649.1123409
347	648.1968913
348	646.5519839
349	644.7250852
350	644.3180198
351	644.0131975
352	642.0069594
353	640.2580656
354	639.0638
355	637.9382922
356	637.6591202
357	636.738043
358	634.8491876
359	633.4015769
360	632.2631978
361	630.1541913
362	629.7731116
363	628.5326759
364	628.1630094
365	626.5867138
366	624.899838
367	623.0502443
368	621.882521
369	620.8854645
370	618.8151966
371	616.4402406
372	614.2219034
373	612.9074153
374	611.6437158
375	609.720174
376	608.3314642
377	607.0888376
378	605.681248
379	604.311611
380	602.5458072
381	601.627273
382	600.6124896
383	600.0598363
384	599.0818518
385	597.5983958
386	595.9750615
387	593.9975705
388	592.3871207
389	590.0701759
390	588.6657637
391	587.5608104
392	586.2444165
393	584.9060342
394	583.5569915
395	582.3393253
396	580.3818695
397	578.4058079
398	577.4417178
399	574.9999759
400	574.1565273
401	572.9094205
402	572.607125
403	570.1113812
404	569.2228279
405	567.6723704
406	566.5784358
407	564.8686373
408	563.2745573
409	562.115025
410	561.0562661
411	560.0345272
412	559.3399384
413	557.8367736
414	556.4234121
415	554.8908643
416	553.8779987
417	552.453405
418	551.1809676
419	549.6815655
420	547.8453084
421	545.7702309
422	545.1684981
423	543.4370198
424	541.9067106
425	540.8496479
426	539.7348632
427	538.72728
428	537.7358396
429	536.7263571
430	535.4383271
431	534.1030119
432	532.990818
433	531.8308541
434	531.1130199
435	529.3239588
436	527.7536223
437	527.2683573
438	525.3768486
439	524.167595
440	523.0363608
441	522.3442633
442	520.935181
443	519.7592708
444	518.6189274
445	517.5355662
446	516.1757335
447	514.9372443
448	513.834053
449	512.5629017
450	511.4243431
451	510.031831
452	509.1193402
453	507.6065381
454	506.55847
455	505.6695498
456	504.1162556
457	503.1723701
458	502.5675673
459	501.2150592
460	500.137055
461	498.4727979
462	497.6049455
463	496.3079144
464	495.1360148
465	494.3529227
466	492.9091117
467	491.2732101
468	490.1901913
469	490.0277785
470	488.5031952
471	487.5227986
472	486.3304257
473	484.6275222
474	483.4284795
475	482.5633414
476	482.160367
477	480.5924687
478	479.5705629
479	478.4993897
480	477.3940957
481	476.8378716
482	475.3260896
483	474.5152735
484	473.6723449
485	472.1647328
486	471.7081399
487	470.9585207
488	470.0017125
489	469.5605889
490	469.2876177
491	468.2890311
492	467.3542891
493	467.1041915
494	465.7915417
495	464.9566906
496	464.1928392
497	463.2338158
498	461.6551525
499	461.0011713
500	460.8090769
501	459.9975843
502	458.4645276
503	457.86851
504	457.0956604
505	455.6459714
506	454.2524396
507	453.261233
508	452.5033641
509	451.1017133
510	450.0435934
511	449.2634989
512	448.6955656
513	447.753231
514	447.0254765
515	446.7963266
516	445.9465649
517	445.6893472
518	444.4502758
519	443.8647426
520	442.8644675
521	442.1314776
522	440.8643326
523	439.7538676
524	438.8439275
525	437.7662738
526	436.6874367
527	435.6400247
528	435.4117999
529	434.3115556
530	433.090721
531	431.812222
532	430.8976218
533	430.1035696
534	429.2426318
535	428.3254379
536	427.4891441
537	426.3012431
538	425.5407775
539	424.4205829
540	423.4952349
541	422.6917112
542	421.651732
543	421.1267684
544	420.8713412
545	420.253912
546	419.4719798
547	418.736094
548	417.9107207
549	416.7060102
550	416.5661995
551	415.3216785
552	414.2080698
553	412.9693263
554	412.1511918
555	411.3882118
556	410.4038788
557	409.9788731
558	409.3269239
559	408.5104048
560	407.8786113
561	406.9517102
562	406.7396664
563	406.1678338
564	405.382771
565	404.4654473
566	403.8419497
567	403.656625
568	403.4219513
569	402.8999152
570	401.8092837
571	400.9823568
572	400.5497684
573	399.5814624
574	398.9606335
575	398.2638857
576	397.7854423
577	396.1164242
578	395.3946821
579	395.0054734
580	394.1655264
581	394.0356189
582	393.858892
583	393.4190107
584	392.5007059
585	391.964222
586	391.7278486
587	390.9231681
588	389.7579552
589	388.868508
590	388.72152
591	387.7257584
592	387.0007184
593	386.0633263
594	384.8110693
595	383.7043613
596	383.0126048
597	382.6680641
598	381.4997783
599	380.81186
600	380.3620727
601	379.9591893
602	379.1221852
603	377.7722165
604	377.5924897
605	376.742467
606	375.8035032
607	375.3521976
608	375.0455981
609	374.0610549
610	373.4095984
611	372.7459195
612	372.1200627
613	371.8492596
614	371.6362213
615	371.3153454
616	370.6532888
617	369.9913368
618	369.511235
619	369.3073799
620	368.4545473
621	367.819399
622	367.2482554
623	366.4882969
624	365.8419524
625	365.7147307
626	365.255454
627	364.783324
628	364.1818189
629	363.6456694
630	363.5027359
631	363.0253046
632	362.0139041
633	361.6341252
634	361.1228695
635	360.6473335
636	360.3353232
637	359.7557008
638	359.5988715
639	359.0086143
640	358.2949116
641	357.4753843
642	357.2882269
643	356.6037284
644	355.604491
645	354.8116864
646	354.048792
647	353.3860101
648	352.6622679
649	352.538509
650	351.674743
651	350.7111201
652	349.634134
653	348.6360997
654	348.2049185
655	347.6242585
656	347.4241503
657	347.0310605
658	346.6746816
659	346.4771843
660	345.5506408
661	345.034856
662	344.3857819
663	343.9486263
664	343.2286426
665	343.05356
666	342.9367544
667	342.0068592
668	340.9859844
669	340.0705456
670	339.3917668
671	338.8919293
672	338.6578872
673	337.6655526
674	336.7456348
675	335.8417186
676	335.5053094
677	334.9736395
678	334.3061174
679	333.3334748
680	332.8984283
681	332.3857934
682	331.6027173
683	330.7929201
684	330.4220555
685	329.7688779
686	329.2062043
687	328.9791216
688	328.5543757
689	327.7274344
690	327.5374871
691	326.6089427
692	325.7521916
693	325.2073105
694	324.3827963
695	323.4855828
696	322.6975692
697	321.9844797
698	321.1084243
699	320.8782409
700	319.8296959
701	319.2988018
702	318.9436141
703	318.4635893
704	317.8320807
705	317.7231297
706	317.1965183
707	316.8180901
708	316.1592612
709	315.6386838
710	315.1842732
711	314.6869734
712	314.0370127
713	313.1730051
714	313.0843744
715	312.306173
716	312.0173152
717	311.3030477
718	310.7281457
719	310.4084097
720	310.2826972
721	309.6662585
722	309.3831513
723	308.8364316
724	308.3050328
725	307.7329786
726	307.3395342
727	306.4782805
728	305.9127511
729	305.1691117
730	304.6288521
731	303.9360086
732	302.9120131
733	302.6101349
734	302.2180061
735	301.8871577
736	301.0924379
737	300.4008425
738	299.9131496
739	299.1797047
740	298.6059846
741	298.3003218
742	297.3892606
743	296.6088216
744	296.177699
745	295.7998661
746	294.7074532
747	294.2357932
748	293.5856092
749	293.1818202
750	292.5332764
751	292.182139
752	291.9226159
753	291.1425178
754	290.2635114
755	289.8113931
756	289.0325089
757	288.5522049
758	288.083546
759	287.6192428
760	286.8791409
761	286.5386181
762	285.9682396
763	285.3559512
764	284.6864849
765	284.2397053
766	283.5171501
767	283.2739997
768	282.7815717
769	282.3109344
770	281.8005476
771	280.9385006
772	280.2127234
773	279.4541411
774	278.9501889
775	278.2771271
776	278.0156903
777	277.7327204
778	277.2092726
779	276.3623045
780	275.678994
781	275.3108303
782	274.7829524
783	274.2059093
784	273.694535
785	273.5182775
786	273.1803633
787	272.939343
788	272.0620474
789	271.7526596
790	271.2312168
791	270.5849337
792	270.1589646
793	269.6598909
794	268.9707439
795	268.6013459
796	267.8616675
797	267.6101313
798	267.175919
799	266.5912877
800	265.7535037
801	265.3503009
802	264.6944698
803	264.4626723
804	263.8358664
805	263.4737861
806	262.9283855
807	262.5935968
808	262.1220081
809	261.9304064
810	261.235481
811	260.7347549
812	260.1033514
813	259.2833812
814	258.9832381
815	258.7494367
816	258.6474724
817	257.9365444
818	257.3695235
819	257.0849364
820	256.6469557
821	256.0161421
822	255.3885242
823	254.7634924
824	254.0715735
825	253.7076093
826	253.1206544
827	252.7715012
828	252.3179702
829	251.774665
830	251.2265148
831	250.7726826
832	250.5617047
833	250.0832664
834	249.7519128
835	249.2230142
836	249.1357124
837	248.7058301
838	247.9224806
839	247.574277
840	247.023031
841	246.6211813
842	246.4846434
843	246.2729602
844	245.6722877
845	245.2885579
846	244.9951876
847	244.7794036
848	244.2405846
849	243.7245336
850	243.34154
851	243.2707129
852	242.6647928
853	242.2090358
854	241.8490412
855	241.5533236
856	241.4036113
857	241.0629891
858	240.7544314
859	240.5470096
860	239.9370097
861	239.7973545
862	239.6068157
863	239.0437486
864	238.6856489
865	238.4728438
866	238.0935332
867	238.0117674
868	237.4096057
869	236.9119824
870	236.5253985
871	236.0798542
872	235.4583713
873	235.015209
874	234.5047121
875	234.3272372
876	233.587798
877	233.0519922
878	232.799935
879	232.467817
880	231.8432843
881	231.4376256
882	231.0044773
883	230.6731045
884	230.4038844
885	230.083827
886	229.8481616
887	229.5099628
888	229.0214087
889	228.5649775
890	228.4087338
891	227.9070393
892	227.4917486
893	227.2778341
894	227.0862369
895	226.7667675
896	226.6194145
897	226.0176159
898	225.6580732
899	225.1681493
900	225.02423
901	224.4508018
902	223.9384327
903	223.6614765
904	223.1603939
905	222.7361213
906	222.3800888
907	221.9027846
908	221.2587078
909	221.1110715
910	221.0111354
911	220.7236109
912	220.5470809
913	220.2505811
914	220.0551636
915	219.5077905
916	219.3179226
917	219.0921854
918	218.7802296
919	218.4603317
920	218.170014
921	217.798727
922	217.3876117
923	217.0571896
924	216.5929518
925	216.2605343
926	215.9373443
927	215.5796919
928	215.331561
929	214.959181
930	214.5937577
931	214.3644663
932	214.0746081
933	213.590003
934	213.2605134
935	212.9670494
936	212.747792
937	212.3989087
938	211.8822357
939	211.5429871
940	211.2251908
941	210.8890365
942	210.6756063
943	210.1488564
944	209.7505344
945	209.6168556
946	209.3834871
947	208.6968068
948	208.4142169
949	207.9614571
950	207.5605101
951	207.1140223
952	206.5792113
953	206.2496141
954	205.8066465
955	205.5608893
956	205.0513042
957	204.715068
958	204.3948914
959	204.0782796
960	203.6510172
961	203.345289
962	203.166056
963	202.6800982
964	202.1491129
965	201.8550578
966	201.3820906
967	201.0618047
968	200.5172546
969	200.261161
970	199.5494337
971	199.0000126
972	198.8274773
973	198.3822737
974	197.954723
975	197.6709869
976	197.5699904
977	197.3476205
978	197.1770837
979	196.8748656
980	196.7398098
981	196.3986638
982	195.8145006
983	195.5727928
984	195.3437929
985	194.8882296
986	194.5482779
987	194.2895466
988	194.0684156
989	193.7255753
990	193.5466144
991	193.0474659
992	192.813925
993	192.649965
994	192.1888351
995	191.7421695
996	191.3428576
997	191.0564795
998	190.8591984
999	190.4105473
